Song,aidan,Aubrey,Barron,claudia,Cooper,Dubi,Egg,Eye Smile,Fleur,FlixerDK,Jade,Joccarri,Lynne,Marlon,Nate,Paige,Sam,Sammi
Married to the Music,IM MARRIED TO THE MUSIC god this song is banger,Would of been a 10 if we were including mvs.,mv makes me uncomfortable,,,,confetti puking 24/7 to this song,"Tight mix, bass mmmyes, and the beat is sick but I can't give an 8 to a song with midi instruments literally shitting all over this song. Shame.",,,,This song is alright,Love the weird horror concept here,This song had to grow on me but damn it is good,11/10 Jonghyun hair,"SHOW STOPPING, TRULY OUTSOLD",,
1 of 1,six,Nailed the vibe & Minho's style of rapping finally fits perfectly with a song. (Best whole album also),,,,,,"Vocals, 80's pop is lit. There is nothing to critique on this song. It's 10 of 10",,,,The song is just ok. My least favorite song on the album,Honestly I totally thought of New Edition when I heard this song,Just wanna say the outfits in this MV were sweet,11/10 Taemin's Michael Jackson Whoo,Iconic??? Like the concept?? Is so??? Iconic??,"Oh man, another SM song where the group refers to a previous one of their songs.",Fun retro track done amazingly well
Tell Me What to Do,:(,This song gets me too emotional to rate it any less.,meh,,,,,"I liked the melody of the chorus, the triplet syncopation, the rhythemic disconnect which causes that delayed effect.",,,,Emo Shinee love it. One of my favorite rap lines in Shinee music,a bop,This is a solid song but not a personal favourite,11/10 Overly large spoiler,I sob while listening to this on a daily,,
Good Evening,everyone kinda bashes this song it seems but i love it so much,"This song builds up so well. Also can't ignore the dance break, A+!",,,,,,"Ignoring the fantastic choreo/MV, this song kills it with variation, a phenomenal mix, and vocals.",,,,This song is great but it makes me emotional.,Favorite song from them in 2018,This song came out at the same time as Pristin V’s ‘Get It’ which overshadowed it in my mind so I didn’t appreciate it as much as I should have at the time. Well now I know that this song is amazing,11/10 Choreo,YES. YESYESYESYESYESYES,,Really great comeback after what happened
I Want You,"this one isnt as good as good evening, chorus is a bit eh",I love this song so much! I love this song so much! I love this song so much! I love this song so much! I love this song so much! I can spend days (& I have) only listening to this one song.,,,,,,"I watched the shit out of live stages, so I can hear the fanchant in my head.",,,,if you ever ride in the car with me when this song comes you will feel my love for the song,good,This song keeps growing on me,11/10 Tropical House,FAT YES,,this is the best title track from the story of light series
Our Page,i liked it a lot more on the second listen,Very important & good but if I take out the importance it stays as just a good song.,hard meh,,,,,"I'm not crying, you are. Musically: great harmonies hidden in the back",,,,I only listened to this song once. It's beautiful but too intense for me,sad i was crying,Heckin' cri,11/10 times I cry,This sONG IS THE MOST BEAUTIFUL PIECE OF ART TAKE MY 11❗️❗️❗️,,This song made me cry the first time I heard it. It's emotional in all the right ways and serves as a really good look back for there 10 year anniversary
Countless,eh? its not as good as a lot of shinees more recent stuff,There's something about this that instantly makes me happy.,,,,,,"At times the singers sounded a bit rushed, half rapping even.",,,,I want to give this song a higher rating but I only listen to the song while watching the video,good,Yes,11/10 Avengers camera spin,YESYESYESYEHDHDBDNDNEN this one is so good,,
Total,"shinee is a supreme vocal group, and i feel like a lot of sm's best production went to them, i really like how they evolved as time went on and while i dont like EVERY song i feel like they were pretty consistent for each era","SHINee is one of my top groups for a reason, they RARELY disappoint.",great vocals,I will forever be a shawol <3,one of the best discographies in kpop yeet,,"Strong discography holy shit. Apart from some blips, this is the most 10s I've given","If I was female or gay I'd probably stan SHINee and no one else. They are a gold mine of great songs, singles, side tracks, japanese stuff.. It's all good. How they weren't bigger.. I'm baffled. Thanks Obama for the shout out.",,"My favorite K-pop group ever. Almost all of their songs are absolutely amazing, and their album tracks and Japanese songs, are just as good as their title tracks.",,"They are not just my favorite kpop group, they are my favorite group in general. My entire family knows I Stan. They have the best discography in all of kpop. Fight me!","The first boy group I fell in love with, their 3rd album made me stay for the long haul in kpop and Lucifer was my most played song for the longest time. I still feel sad about Jonghyun dying but Im glad that they are moving on in their lives","Growing up primarily focusing on girl groups, SHINee were one of the exceptions as I was there for every comeback. I especially love the solo work of the members. I sincerely apologise for giving my 0 to ring ding dong but it had to be done. Anyways shout outs to Obama. Peace.",11/10 Best boy group ever to exist,YESYESYESYESYESYESYES THEYRE MY FAVORITE 2ND GEN GROUP THEIR MUSIC IS ALWAYS SO FREAKING GOOD AND THEY ALWAYS OUTSELL,"SHINee is the greatest kpop group to ever exist. I wish I had gotten into kpop earlier so I could've seen ot5 live. I'm glad to see them continuing on after losing Jonghyun, even though it's not the same.","Shinee has always been one of my favorite kpop groups, their in my top 5 groups of all time. They were my first love and the reason I'm a kpop fan. There music never disappoints."
2PM,,,,,,,,,,,,,,,,,,
10 out of 10,jay park idol LMFAO,The only success I can see out of this song is the girls in the mv. Even when the song changed it still went no where.,oof out of 10,,awful debut,,More like 2 out of 10 amirite,Needs some fire rapping and could change the chorus up a bit to make it more distinct,,,,"The orignals Girls, Girls, Girls",NOT Good,This song is everything I dislike about JYP songs,11/10 awkward sexual objectification of G.NA,,"Alright, how many comments are gonna be a play on words of the title",
Again & Again,"its alright, the chorus isnt bad",FUCKING AUTOTUNE!,,,catchy hook but still not doing anything for me,,"some parts feel like nobody by wonder girls, must be because of mr jyp's producing","Love the high hat, awesome synths, It's so JYP, like he should have featured in this song.",,,,,"This song is the reason Jay Park has a career today, and two record labels","I went from hating this song to liking it, I hate myself",11/10 Autotune usage,,It's the male version of Tell Me,This song is so boring
Heartbeat,its just average,It's so over dramatic I can's help but like it.,i only regret that i have but one 0 to give,,one of the worst songs ive ever heard,,,"Hello celloist! Actual session musicians always make or break songs for me. Catchy song, tasteful synths, wooo",,,,I performed this song in college at a Korean Festival. So this song holds a special place in my heart.,Classic scarecrow dance,HAHAHAH,11/10 Jay Park Gone,,"The opening raps are so cringy. Are they even raps? It's like lazy monotone singing that's also fast. I dunno, it sucks.",
Without U,beat is good,"Nothing really stood out, the piano was nice though.",,,wow theyre just bad,,wow 2010 kpop really loved the shuffle,"Musically: key change was the only good part. MV: If you have beastly idols in the rain, why bother with shirts?",,,,,First time watching this and wow black tanks and wet men are really nice to look at,This song would be a lot better if the vocals were better,11/10 sentimental rapping over a piano in the rain,,Did anyone else shiver at the jyp whisper?,
I'll Be Back,"these songs do kinda blend together a bit for me, not terrible though",I swear I've heard the same song 3 times straight with this group.,,Just no. T-ara's shuffling was better,,,Arnold oppa should sue,I can't not talk about that overthetop eye shadow holy shit.,,,,I just like this song,"that makeup and hairstyles and clothes were horrible, no bueno","The MV has me giggling so much, why is it so damn funny",11/10 Eye makeup,,I imagine kpop hell is this song on a loop with everybody shuffling.,
Hands Up,:/,I make my cat dance to this song! The mv quality improvement is also much appreciated.,,,,,the frat song,The sample literally never stops. Wish it changed at least once? Ya know?,,,,A great song to party,it is one of their weaker title tracks,"Not gonna lie, I get down to this song",11/10 Certified banger,,,
Come Back When You Hear This Song,no,"The build up to the chorus is really good, chorus itself though is disappointing.",,,finally a good song,,,"It's disjointed, and I don't like the mix",,,"I don't know why I love this song so much, but I do.",This song reminds me of History's The Dreamer,also really nice song,This song grew on me,11/10 Deadly sins,,,Underappreciated gem
A.D.T.O.Y.,i actually really like the chorus in this,This is how you appropriately make a sex song.,even a broken clock is right twice a day?,,improving,,,"Rap is fire, song is a bit too high for junho in the chorus I didn't like that",this music video though,"This song is the best song JYP has ever written, it's so fucking catchy.",,Hands down their best song. One of my favorite kpop songs of all time.,HOT HOT HOT all day i think about youuuu,This song is so unique and interesting but the vocals I find are kinda weak especially the falsetto,11/10 Falsetto,,Clearly I'm missing something. Why does everyone love this song?,One of the sexiest kpop songs of all time.
Go Crazy!,YEAAAAAAA,Still one of the best party songs in k-pop. This mv is a whole trip though.,really good chorus but everything else is a trainwreck,,a jam,,,"Bass & rhythm guitar were spot on mate, some cool filters near the end",,,No.,,The mv never fails to put a smile on my face,"This song is pretty fun, I love the verses but not huge on the chorus. It could be better",11/10 Silly choreo,,,
My House,a bit of an odd track,"Amazing chorus would be higher if mv is included, so pretty.",that choreography tho,,,,No mine,"That baby voice sucks, get rid of it.",You can take me to your house anytime ( ͡° ͜ʖ ͡°),,"Sounds like something JYP wanted to sing, but just gave to 2pm instead.",,,Pretty catchy,11/10 Heterochromatic Taecyeon,,"This was my first 2PM video, and one of the first non BTS videos I saw. I couldn't believe the whole concept was getting a girl to go home with them.",
Promise (I'll Be),this one is good,This is everything I want in a song.,idk,,,,is this vixx,"Variation kept the song interesting through the chorus, versus just too slow paced",,,,this is a runner up for their best song,,"Cool instrumental, It is hype but it also has the sweetest piano sounds that have no business being in this song but I’m glad for it",11/10 instrumentals,Favorite song by them,"Oh hey, this came out on my birthday",
Total,"i dont even have much of an opinion, i like a couple of track here and there but mostly it's just ""alright"" and ""meh"" also jay park idol LMFAO","I don't know for sure who it is, possibly Chansung, but there is one person in this group who makes it sound like JYP is in the group and it always makes me uncomfortable.",your songs suck but keep on laying that pipe my dudes,,I didnt know much about them before this rate other than ADTOY. But they never really had that song that blew me away. Mostly just offensively bad vocals and production mixed with questionable choreo.,,,"2PM have got the looks, but only a couple bangers (songs) (also giggity), I think of them as having lots of party songs. Cabi song is 11 Out of 10.",,"Very dated like Wonder Girls, but liked their songs a little bit better overall.","If you weren't in the fandom at the time, I don't think you realize just how huge they were. Like they were everywhere. I don't think JYP knows what to do with idols once they are past like 24.","2pm definitely had their moment and you had to be there for it, because a lot of their music did not age well.","kind of surprised at how short their discography seems to bee over all, JYP back in the day didn't have their groups release a ton of music I guess, that definitely changed in the 3rd gen. I had a harder time getting into them cause of their singing but now I like their songs a lot more.","I know I meme’d that I didn’t like this group but honestly they had some pretty good songs. But they had no songs that really blew me away. One gripe I had were their vocals which were boring at times, there were vocal runs that sounded a bit weird like ‘was that really the best take?’ was my reaction at times, and there was some bad falsetto.",11/10 muscles,Nothing by them really stands out to me at all... just kinda bland. Stray Kids covering their songs always make me happy though for some reason lmao,Is their concept just getting into girls' pants?,I've never really been into 2pm. There's nothing awful about there music and they do have some gem it's just that most is mediocre
Beast/Highlight,,,,,,,,,,,,,,,,,,
Bad Girl,:chuufist:,Did they have no faith in their vocals from the start? The autotune is terrible. Junhyung is the only saving grace here.,dance break part is trash,,bad debut,,,bad: autotune. Good: that really faint synth in the background,,,,,NO,Autotune is really good I like it,11/10 styling,,One note in and I'm already considering the 0,
Shock,wait this isn't f(x),"I didn't know this was their first comeback, legendary!",o dis a banger,,iconic lyrics,,this song is about beating their dicks,"nice bridge, liked the temporary drop out then right back into it. The filter on the bass isn't anything I haven't heard before but it's still good",,,,,i had an affinity for autotune a long time ago,"This song presents a few cool ideas, but I don’t really like the song as a whole",11/10 80s sci-fi synth,Iconic,,
Breath,stop,"Better then i was expecting, but still...JUNHYUNG!",,,,,,"some good vocal lines, but that's about it for me",,,,this one is alright,Yoseob had some nice parts in this song,The instrumental is cool. I don’t like the chorus,11/10 neck straining,,Erotic breathing,
Beautiful,things are picking up lads,Cute Beast doesn't work for me.,,,,,,It's a four. No comment.,,,Ew.,wow this is bad,ehh,Extra cheesy. Also I feel sorry for the souls that look up Beast - Beautiful and landing on this song instead of Beautiful Night,11/10 never heard this song before (kinda upset i have now),,"The half time section was unnecessary, but I'm also not complaining",
Fiction,its pretty corny but i like it a lot,"The lyrics sold this, sad af.",,,,,,This was peak beast,,,I will never not love this song. Its such a jam.,I do not hate this song,ICONIC KPOP alert,"I thought I didn’t like this song on my first rate, but I love it wow",11/10 iconic,Iconic,,Yeah it's Iconic but doesn't hold up that well over time
Beautiful Night,\ o /,One of the best songs to hear live.,,,,,,"love the slight delay on the chords, there isn't a lot of top end which works well here.",,,"This song was sooooo big, I swear it was at the top of those kpop billboard chart videos for weeks. I'm probably the only person that remembers those lol.",The one song I actually really enjoy by this group,party song,"This is actually a beast song I have listened to regularly in the past, it’s a banger",11/10 skateboard and bike tricks,Hearing this live CHANGES YOU.,,
Shadow,wait this isnt f(x),"Wasn't good, wasn't bad. I wish Junhyung could of just rapped through it all.",,,,,because i am shadow,"Nice progression, Melody during chorus is ++",,,,,Awesome followup,This song is okay 3edgy5me,11/10 too spooky,,,
Good Luck,another aight song,"This song does nothing but make me happy, in a twisted was. Yoseob's vocals from the first second & Junhyung's verse. The sass in this song is amazing. (Was a possible 11 candidate)",,,,,https://i.imgur.com/fBVKLjp.png,I'd like my 4 minutes back.,,,,,great!,69 lol,11/10 Vegas and Route 66 signs next to Chinese signs,,,Their best song
12:30,members shine on this,Good typical emotional comeback.,not a banger,,,,,It's like a sad dance track. Bass+drums are far too hard majority of the song.,,,,,but seriously who is the tattooed drummer,Pretty great vocals,11/10 shirtless drummer,,The drum is really distracting,
Gotta Go to Work,w-what?,Still don't like cute Beast & Junhyung still saved it.,they need to stay in their lane and this aint it,,,,,Huge appreciation for the space created by the bass,,,,I never want to hear this song again,This song is super cute,Cute,11/10 Overly controlling SO's and unhealthy relationships,,,"Their worst most forgettable, most mediocre, most lifeless song"
YeY,NeY,Gives me BigBang vibes & I don't know why the music is far too loud at the chorus.,,,,,YEET,"There's something weird in how the synth falls off in the chorus, it sounds terrible and half assed",,,,,not feeling it,Pretty hype,11/10 dancing in a weed farm,,It's very Big Bang wanna be,
Butterfly,wait this isn't go won,This was absolutely beautiful.,,,,,dogshit,For a ballad I guess it's ok. I liked the secondary layer of ad libs,,,,a ballad,wow that was really pleasant,It's a ballad,11/10 sentimental blank stares,,"Eh, it's a really nice ballad",
Ribbon,i kinda forgot about it and i just listened to it,Not bad but that electric violin thing pained my ears so much.,,,,,,I guess it's a lot better than butterfly so there is that.,,,,,What a way to end their time as Beast,Not bad but nothing special about this song for me,11/10 strings,,rip beast,Beast should have gone out with a better song. not bad just forgettable
Plz Don't Be Sad,"im really annoyed that it says ""plz""",Loved this before kcon loved it even more after kcon because of how much fun they have with it.,,,,,kcon ny 2017 hype song,"sweeping filters sell the breaks, this is a tasteful main synth line and it's mixed really nice",,,,I really enjoy this song,Nice beginning as Highlight,"I grew to love this I don’t know what happened, it’s a banger",11/10 debut song,B O P,,
Calling You,putp,So these lyrics are my whole last 5 years.,,,,,,"Love the muted feeling of the snare and kick, with elongated crash cymbols. Acoustic outro good",,,Why does someone here sound like GD?,,,Decent,11/10 Jeep referees?????,,,
Can Be Better,yeah it probably could,Since becoming Highlight their lyrics are outstanding.,,,,,,I feel like they tried to copy the synth from pls don't be sad and it just sucks here,,,,this song can literally be better,,Banger,11/10 phallic imagery,EvEN BIGGER BOP,It sounds like it's trying to be Plz Don't Be Sad,
Total,"my overall thoughts are kinda a lack of thought to be honest, like i probably would listen to a lot of it again but on first impression the songs arent that memorable and this group is a light 6",Beast=Saved by Junhyung Highlight=AMAZING lyrics & Junhyung,better than i expected,,This is a 7 out of 10 group,,"beast was trash, their stint as Highlight has been very good","I prefer the content from their rebrand, another artist mis-managed by cube? No surprise",,"Probably the most disappointing group, voted for them cause I thought they had a lot of good songs, but other than the ones I already knew, it was pretty bad.","This was always a group that had hits, but I never actually stanned. I only listened to the music, so when I got back into kpop I was so confused to learn that they are now highlight.",I am not a fan,"Yeah I have not been paying as much attention to what they've been doing, but yeah Their songs polarized me. Their early songs were eeeeeehhhh kinda not good but they got better with age.","Really great vocals, and some bangers. Not too many duds",11/10 at leaving their company and surviving,"I thought I saw Loved on the first page but there’s no option here... I’d give it a 10 if it was here Even though I ranked some of their stuff low, their music has a special thing that others don’t have and every song I listen to I don’t hate which is really nice, plus half the song so I really enjoy","I thought I was gonna hate them after hearing their debut, but overall they were a pretty ok group. Also Yoseob will forever look 12.","I liked a decent amount of beast, they were kind of hit and miss for me. I've enjoyed their stuff as highlight more."
Infinite,,,,,,,,,,,,,,,,,,
Come Back Again,its pretty funky,"They're lucky the chorus is catchy, nothing else stands out.",,,"ok debut, their only not great single",,,"For what it's worth, I liked the guitar, and the bridge was cool",,,,One of the best debut songs of all time. It is impossible to be in a bad mood while listening to this song,a fantastic debut,"Decent track, I like the chorus.",11/10 Freight Yard,The og underrated bop,"I know I'm not supposed to let the music video affect my score, but I'm adding a point cuz of the dance.",
She's Back,sick mate,The long notes are what gave this points. There is a reason no one brings up this song.,,,,,kick her out,"I liked the ""she's back"" part after the key change",,,,The emotion I get from this song is probably similar to dog's when their owner gets home from work,,"Cute song, I really love the “ onda-onda-onda” (I thought they were saying “down down down” but apparently not, this is SHINee view all over again rip)",11/10 PUPPIES,,,
BTD,is this a disease,There is no words to explain how much i love this song.,,,,,,Wasn't enough interesting bits to counter such a slow pace. Felt like it was dragging,,,,I literally hate everything about this song,so epic,Nothing too special,11/10 Guitar solo,,,Least favorite song but still a bop
Nothing's Over,eh not my favourite,Once again vocals gave this points. They all de-aged about 5 years with this song somehow.,,,,,it is,This happy go lucky song was so depressingly bland.,,,,,,I can see this as a song I’d get really nostalgic over if I had heard it earlier,11/10 improper use of beds,THIS SONG! IS SO IMPORTANT!!,,Infinite's most underrated song that deserves more love
Be Mine,i like the vocals,One of my favorite chorus' in k-pop.,,,,,yes please,"The feedback bits are annoying, and the percussion can be a bit boring, GOOD: Key change, catchy as fuck",,,,,AHHH a Classic,I like the chorus,11/10 even better live,,Don't have to tell me twice,
Paradise,i love pretty much everything about this except the chorus (though i dont hate it),"Ain't bad, chorus takes it again.",,,,,,"chorus was all high end, like too high for the singers, then you have those violin tracks. Just nah",,The Bee Gees-esque falsetto chorus is so good.,,,dramatic af,Neat,11/10 group vocals,,tf is this stupid flute,
The Chaser,slapper,Can i just write chorus for all of these?,dis my jam,,,,nabicheoreom nara nanana nabillera....,"Everyone hypes this song up, Why? It's fucking bombastic lit taco time.",,One of the all time great K-pop songs.,,One of the greatest kpop songs of all time,A FUCKING AMAZING SONG UP there with Haru Haru and Lucifer,Song is saved by a good chorus,11/10 song lost to space and time,This is iconic you can’t tell me otherwise,I want to give this an 11 so badly. The leg rub itself deserves it.,One of my favorite kpop songs of all time
Man in Love,verses are a bit weak,"Cute but not cringe worthy, which is good.",,,,,,"the intro was pretty dope, glad it carried through most of the song",,,,I have a complicated relationship with this song,80s cuteness,This song is pure cheese,11/10 KITTY,THIS SONG IS SO FREAKING GOOD I LOVE THEM SO MUCH,soft infinite,
Destiny,ooo thats my shit,Legit remember nothing of this song 5 minutes later.,,,,,,the keys/midi stepping up and down the scale in the back was interesting,,,,,also epic,Pretty cool song,11/10 Superpowers,,,
Last Romeo,i have had it up to here with all these fucking romeo and juliet references in kpop,Hella dramatic.,dope,,,,Romeo Must Die,If this was my first listen to infinite I would think they were a band,,,,,1st comeback i was here for and wow I was in love,epic,11/10 Mijoo cameo,,,
Back,"super strong all around, really cohesive",Live version of this is outstanding!,not dope,,,,,"some of the phrases were a bit short in the chorus, they could have elongated more so it doesn't sound like thy are cutting everything off?",,,,this is the moody version of the Chaser,that piano in the beginning sealed it for me,Now this is epic,11/10 best drop in K-Pop,This has always been one of my favorite songs along with the mv,,
Bad,a big fan of this 1,My first Infinite song & it is amazing but I still can't accept that they say bet in between all the bads.,,,,,good mj cover,"Nice punch to it, can't say I like all of the distorted voice parts tho",,,,trap+Infinite= lit af,so bad bad bad girl,This is epic and edgy,11/10 intense string line,Truly THE song,fuck :clap: this :clap: only :clap: one :clap: 11 :clap: rule,
The Eye,the chorus is probably the standout here,I have a soft spot for the weird talking parts.,,,,,,synth violin track was all over the place but in a good way.,,,,,This proves that you don't always need rap parts in songs yall,No actually this is epic and edgy,"11/10 ""WHY DID YOU STOP THE MUSIC""",OKaY oKaY,Infinite has too many good songs... One might say there are... *infinitely* many,
Tell Me,i really like this direction sonically for infinite,"Yet again, chorus!",,,,,bad wonder girls cover,Meh chorus,,This is so boring compared to their older songs.,,this sound like a contemporary christian song,its weird not hearing Hoya,"Actually I was wrong before, this is epic",11/10 Sunkyu's voice,I miSS THEM THIS WAS SO GOOD )):,"""I love you in my mind"" accurately describes my relationship with Sungkyu",
Total,"i feel like i liked them a lot more than i remember doing, some of their stuff is pre average and they dont really have a ""wow"" song but i like a majority of their music",Sungjong is the prettiest human on this planet.,pretty consistently good,"Surprisingly, I liked more of their title tracks compared to SHINee",best 2nd gen group honestly,,"I could listen to the instrumentals on their own, they're pretty good.","I might be a normie for only really liking the chaser, and I'm fine with that. Infinite never caught my attention",,"Knew they had some great songs, but didn't know they had this many. And if I had heard their music before SHINee's, maybe they would've been my favorite group, at least if their album tracks are as good as these songs, and now I really wanna check them out.",Why have I been sleeping on infinite? They are really good.,I think Shinee are the best live performers in kpop. Infinite is the only group that comes close in my eyes,Another group I absolutely loved when I started out in kpop. Its a shame no one ever really talks about them anymore cause they had some amazing songs,"I didn’t give this group a 10 which is a shame, but I like them",11/10 Best Instrumental Tracks in K-Pop,"Infinite will always be one of the best kpop groups that everyone overlooks and I’ll forever be pissed about it, they deserve MORE YOU COWARDS . STAN.",Wow I think I'm lowkey an Inspirit now. I had no idea Infinite was this amazing. Time to check out their albums. But now I feel like a lame math nerd if my two favorite 2nd gen groups are f(x) and infinite....,Infinite is one of my top 5 favorite groups. They have no bad songs. They have grown and evolved while still keeping the infinite feel in their music
